IR
345.822127155862
52.99757668481834
1126.3429343663709
4546.178356605897
2533.9982526906847
7011.724585935918
9688.869493412552
12284.413485823192
14491.191922162549
16021.511487559663
16634.946941618873
16159.280611378555
14503.971272592142
11666.2235216454
7729.998178832815
2858.693108672436
-2717.225147366611
-8716.368368482006
-14825.14606436871
-20717.636455026804
-30605.247174314987
-26075.278974257995
-34056.50397197878
-36232.781989299336
-37001.97045094065
-36301.62274910252
-34140.522834157746
-30596.495122356333
-19979.799437142516
-25810.83542822364
-13343.750486644363
-6174.689768253622
1237.1723133623454
8597.138635847587
15619.26640817996
22038.502486759928
27621.34299818067
32174.56165028367
35551.7640758252
38449.697173255394
37657.64004293022
37937.732204201064
36181.21830799818
33284.58720016199
29390.9742397573
24674.85628551776
19333.662729001364
13578.975331059206
7627.8101945362
1694.0216559122346
-4019.673533415247
-9328.616916487095
-14072.140418756811
-18118.22135994854
-21366.6190060749
-23750.74653553607
-25238.202637141898
-25829.86522259833
-25557.878410375524
-24482.561704281987
-22688.32754093709
-20279.10576282267
-17373.36748125429
-14098.844538723482
-10587.4396651223
-6970.374843034209
-3373.575628878454
86.32791976072622
3305.3536204057746
6194.917984629828
8683.804797223922
10719.327906926868
12267.750183041426
13314.021477822265
13860.902213180641
13927.532789756744
13547.550624022839
12766.850589242043
10233.191421791922
11641.117469631807
8610.350730368287
6841.725230512086
4995.827074215758
3138.247511444428
1329.7096431514437
-375.49036630642513
-1930.7361992976694
-3298.105628160658
-4448.969238003327
-6033.688427976002
-5364.138646360272
-6456.488509583016
-6639.531257743046
-6597.032175468443
-6349.3461845252505
-5921.815622937232
-5343.496005296319
-4645.842674074931
-3861.5107529914885
-3023.1768732502696
-2162.421711700701
-1308.8243037921147
-489.16474618394386
273.2611334710018
959.0616824212848
1553.0041952800402
2044.1838255492166
2425.96202811467
2695.7292898993883
2854.663873142633
2907.3966819128727
2861.565554693475
2727.3778916543506
2517.096151991517
2244.441839884303
1570.8238025270207
1924.035271219677
1199.537624397508
824.2607764751629
458.0265247861944
112.4169095605339
-202.74818047631834
-479.61696232824306
-712.4150719353202
-897.4532885436784
-1033.0643955906166
-1119.4902508190225
-1158.693924805282
-1154.0801311240202
-1110.2226462501653
-1032.5994006640578
-927.3030462759683
-800.833588692495
-659.8606984812423
-510.9370706617949
-360.24929688630186
-213.4018697482229
-75.28546669581033
50.04510521031739
159.44272578365326
250.67993525994189
322.4636250006795
374.32144951168436
406.50560126204607
419.9996210830962
416.3657486438678
397.6017351824894
366.124394260795
324.57480019437037
275.6160729775237
221.89926852761943
165.94106033378677
110.03403142757713
56.28059154914564
6.488020582099239
-37.9259789589164
-75.90062910538529
-106.7803448953785
-130.3527851867418
-146.8018946146114
-156.65585217709057
-160.6637392847091
-159.6616555472855
-154.5223502277862
-146.0654860761853
-134.962417722388
-121.77771397595188
-106.99131483752427
-90.94666104150147
-73.86501972078457
-55.87749541038136
-37.05981919303622
-17.506206480195374
2.610704826680319
23.014639256344424
43.31990547242151
63.05198991329894
81.68247143905933
98.6469542084499
113.37151748443301
125.34621215508653
134.15299591463165
139.4427836177064
140.97878026151005
138.6354286163922
132.3673446370455
122.24417790342585
91.5808002560733
108.50300482445081
72.0173249459504
50.36547256158286
27.232699598032582
3.2876313636890586
-20.751022177667153
-44.12620564077304
-66.10804753112421
-85.99474851753706
-103.11209845810436
-116.91688187804277
-127.00316587486591
-133.05075993396105
-134.90014575140344
-132.55737721589395
-126.14365753861813
-115.98587499903667
-102.61547246659539
-86.67288100490896
-68.9851009918741
-50.565849315401124
-32.41125074766671
-15.423128865406397
-0.36931221168498496
22.159224490665906
12.247780342591113
29.293301597118614
33.86267499351777
36.2959438049769
37.118496922054476
36.94078430691786
36.07858763222612
36.42759985679663
36.403768721444465
37.79645603617749
40.37410098904003
44.16538801823705
49.01772481598144
54.65237825058204
60.71334845219812
66.79144359568217
72.39578448352519
77.01673734434327
80.18201587474653
